ID,city,district,location,organizer,serial_number,course_name,category,teacher,start_date,end_date,classtime,classroom,charge,intro,figure,signup,relate_website
kh_lc韻律有氧(A)2016-04-18,高雄市,前鎮區,高雄市前鎮區中山三路132號,獅甲會館,022201,韻律有氧(A),樂器音樂,蘇美齡,2016-04-18,2016-06-23,每周一四 晚上0630~0800,獅甲會館409教室,優惠身份: 1300元     一般民眾: 1400元,"現場親自教學，並利用身邊隨時可用的器材（如毛巾、瑜珈軟墊）等，讓學員們更快的達到運動效果。",,http://college.kcg.gov.tw/class_info.asp?C_name=%c3%fd%ab%df%a6%b3%ae%f1(A),http://college.kcg.gov.tw/class_file/1/2492/1-22-蘇美齡－韻律有氧A-201.doc
kh_lc塑身瑜珈A班2016-04-24,高雄市,前鎮區,高雄市前鎮區中山三路132號,獅甲會館,022202,塑身瑜珈A班,運動健身,陳仙玲,2016-04-24,2016-06-26,每周日 早上0900~1100,獅甲會館B02教室,優惠身份: 1000元     一般民眾: 1100元,"從呼吸法和瑜伽基本八個方向伸展的基礎課程開始上起，逐漸提升層次，進入體位法、肌力和柔軟度的訓練。最後，藉由語音冥想，獲得全身性的放鬆，達到身心靈的平衡。備註:請穿著瑜伽服上課。",,http://college.kcg.gov.tw/class_info.asp?C_name=%b6%ec%a8%ad%b7%ec%cf%c9A%afZ,http://college.kcg.gov.tw/class_file/1/2493/4-22-陳仙玲-塑身瑜珈A班-202.doc
kh_lc韻律有氧(B)2016-04-18,高雄市,前鎮區,高雄市前鎮區中山三路132號,獅甲會館,022203,韻律有氧(B),樂器音樂,蘇美齡,2016-04-18,2016-06-23,每周一四 晚上0800~0930,獅甲會館409教室,優惠身份: 1300元     一般民眾: 1400元,"現場親自教學，並利用身邊隋時可用的器材（如毛巾、瑜珈軟墊）等，讓學員們更快的達到運動效果。",,http://college.kcg.gov.tw/class_info.asp?C_name=%c3%fd%ab%df%a6%b3%ae%f1(B),http://college.kcg.gov.tw/class_file/1/2498/2-22-蘇美齡－韻律有氧B-203.doc
kh_lc體適能瑜珈(初級)2016-04-23,高雄市,前鎮區,高雄市前鎮區中山三路132號,獅甲會館,022204,體適能瑜珈(初級),運動健身,陳芬足,2016-04-23,2016-06-25,每周六 下午0200~0400,獅甲會館409教室,優惠身份: 1000元     一般民眾: 1100元,"從呼吸法和瑜伽基本八個方向伸展的基礎課程開始上起，逐漸提升層次，進入體位法、肌力和柔軟度的訓練。最後，藉由語音冥想，獲得全身性的放鬆，達到身心靈的平衡。備註:請穿著瑜伽服上課。",,http://college.kcg.gov.tw/class_info.asp?C_name=%c5%e9%beA%af%e0%b7%ec%cf%c9(%aa%ec%af%c5),http://college.kcg.gov.tw/class_file/1/2500/5-22-陳芬足-體適能瑜珈(初級)-204.doc
kh_lc氣功禪修健康養生班2016-04-18,高雄市,前鎮區,高雄市前鎮區中山三路132號,獅甲會館,022205,氣功禪修健康養生班,宗教信仰,林秀葉,2016-04-18,2016-06-22,每周一三 晚上0730~0900,獅甲會館B02教室,優惠身份: 1300元     一般民眾: 1400元,"透過教練指導醫學氣功禪：動功、靜功，讓身強體健祛病養身，心靈解脫紓解壓力，真正能使您達到身心靈和諧的最佳功夫。生病看醫生、健康靠自己，呵護身體、善待自己、從現在開始，用一點心、撥一點時間，大家一起來練功、享受健康快樂的人生。",,http://college.kcg.gov.tw/class_info.asp?C_name=%ae%f0%a5\\%c1I%ad%d7%b0%b7%b1d%bei%a5%cd%afZ,http://college.kcg.gov.tw/class_file/1/2501/321.doc
kh_lc體適能瑜珈初級(B)2016-04-20,高雄市,前鎮區,高雄市前鎮區中山三路132號,獅甲會館,022206,體適能瑜珈初級(B),運動健身,陳芬足,2016-04-20,2016-06-22,每周三 晚上0630~0830,獅甲會館409教室,優惠身份: 1000元     一般民眾: 1100元,"從呼吸法和瑜伽基本八個方向伸展的基礎課程開始上起，逐漸提升層次，進入體位法、肌力和柔軟度的訓練。最後，藉由語音冥想，獲得全身性的放鬆，達到身心靈的平衡。備註:請穿著瑜伽服上課。",,http://college.kcg.gov.tw/class_info.asp?C_name=%c5%e9%beA%af%e0%b7%ec%cf%c9%aa%ec%af%c5(B),http://college.kcg.gov.tw/class_file/1/2502/7-22-陳芬足-體適能瑜珈(B)-206.doc
kh_lc體適能瑜珈初級(A)2016-04-23,高雄市,前鎮區,高雄市前鎮區中山三路132號,獅甲會館,022207,體適能瑜珈初級(A),運動健身,陳芬足,2016-04-23,2016-06-25,每周六 早上0940~1140,獅甲會館409教室,優惠身份: 1000元     一般民眾: 1100元,"從呼吸法和瑜伽基本八個方向伸展的基礎課程開始上起，逐漸提升層次，進入體位法、肌力和柔軟度的訓練。最後，藉由語音冥想，獲得全身性的放鬆，達到身心靈的平衡。備註:請穿著瑜伽服上課。",,http://college.kcg.gov.tw/class_info.asp?C_name=%c5%e9%beA%af%e0%b7%ec%cf%c9%aa%ec%af%c5(A),http://college.kcg.gov.tw/class_file/1/2504/5-22-陳芬足-體適能瑜珈(初級)-204.doc
kh_lc初級瑜珈(A)2016-04-19,高雄市,前鎮區,高雄市前鎮區中山三路132號,獅甲會館,022209,初級瑜珈(A),運動健身,蘇上潔,2016-04-19,2016-06-24,每周二五 下午0230~0400,獅甲會館B02教室,優惠身份: 1300元     一般民眾: 1400元,"抱持熱忱.親切.認真的態度.傳授身心靈與大小宇宙的連結.1.抱持著輕鬆瑜珈.健康增加.2.結合身心靈瑜珈.放鬆全身關節.經絡的體位法因為身體因素(腸胃.經絡.關節)整個血液的循環不理想.所以才接觸瑜珈.接觸之後發現得到的好處並不只是練習瑜珈的體位法.而是讓我得到更多心靈的層面.包括心靈的放鬆.身體經絡的放鬆等等.",,http://college.kcg.gov.tw/class_info.asp?C_name=%aa%ec%af%c5%b7%ec%cf%c9(A),http://college.kcg.gov.tw/class_file/1/2588/8-22-蘇上潔-初級瑜伽(A)-209.doc
kh_lc瑜珈初級(B)2016-04-19,高雄市,前鎮區,高雄市前鎮區中山三路132號,獅甲會館,022210,瑜珈初級(B),運動健身,陳仙玲,2016-04-19,2016-06-24,每周二五 晚上0630~0800,獅甲會館409教室,優惠身份: 1300元     一般民眾: 1400元,"忙碌的現代人因緊張、壓迫，使身體長期累積的僵化或偏歪，倒至不容易如何放鬆自我，進而演變摧毀自己。可增強身體免疫功能、柔軟筋骨、促進血液循還、排除體內的毒氣及廢物、按摩身體各器管、強化自律神經、促進內分泌平衡、提升睡眠品質、保持青春美麗、容光煥發。",,http://college.kcg.gov.tw/class_info.asp?C_name=%b7%ec%cf%c9%aa%ec%af%c5(B),http://college.kcg.gov.tw/class_file/1/2587/9-22-陳仙玲蔡錦鳳-瑜伽初級(B)-210.doc
kh_lc瑜珈初級(C)2016-04-19,高雄市,前鎮區,高雄市前鎮區中山三路132號,獅甲會館,022211,瑜珈初級(C),運動健身,蔡錦鳳,2016-04-19,2016-06-24,每周二五 晚上0805~0930,獅甲會館409教室,優惠身份: 1300元     一般民眾: 1400元,"忙碌的現代人因緊張、壓迫，使身體長期累積的僵化或偏歪，倒至不容易如何放鬆自我，進而演變摧毀自己。可增強身體免疫功能、柔軟筋骨、促進血液循還、排除體內的毒氣及廢物、按摩身體各器管、強化自律神經、促進內分泌平衡、提升睡眠品質、保持青春美麗、容光煥發。",,http://college.kcg.gov.tw/class_info.asp?C_name=%b7%ec%cf%c9%aa%ec%af%c5(C),http://college.kcg.gov.tw/class_file/1/2586/10-22-陳仙玲蔡錦鳳-瑜伽初級(C)-211.doc
kh_lc太極拳基礎班(A)2016-04-22,高雄市,前鎮區,高雄市前鎮區中山三路132號,獅甲會館,022212,太極拳基礎班(A),運動健身,劉勇男,2016-04-22,2016-06-24,每周五 晚上0720~0920,獅甲會館B01教室,優惠身份: 1100元     一般民眾: 1200元,"太極拳13式(全民運動會版)，教學採分段拆招講解、示範、調整、指導",,http://college.kcg.gov.tw/class_info.asp?C_name=%a4%d3%b7%a5%ae%b1%b0%f2%c2%a6%afZ(A),http://college.kcg.gov.tw/class_file/1/2583/13-22-劉勇男-太極拳基礎(A)-212.doc
kh_lc流動瑜珈2016-04-18,高雄市,前鎮區,高雄市前鎮區中山三路132號,獅甲會館,022213,流動瑜珈,運動健身,林宥妤,2016-04-18,2016-06-23,每周一四 早上0930~1100,獅甲會館409教室,優惠身份: 1300元     一般民眾: 1400元,"呼吸來帶領身體，進入串連瑜珈練習 在動作與動作變化之間，讓身心如同氣息吸吐自然流動 同時可以訓練柔軟度，對於強化肌力，保持青春體態 ，甚至心肺的提升。",,http://college.kcg.gov.tw/class_info.asp?C_name=%acy%b0%ca%b7%ec%cf%c9,http://college.kcg.gov.tw/class_file/1/2585/11-22-林宥妤-流動瑜珈-213.doc
kh_lc太極拳基礎班(B)2016-04-20,高雄市,前鎮區,高雄市前鎮區中山三路132號,獅甲會館,022214,太極拳基礎班(B),運動健身,劉勇男,2016-04-20,2016-06-22,每周三 晚上0720~0920,獅甲會館B01教室,優惠身份: 1100元     一般民眾: 1200元,"楊式太極拳64式(全民運動會版)，教學採分段拆招講解、示範、調整、指導",,http://college.kcg.gov.tw/class_info.asp?C_name=%a4%d3%b7%a5%ae%b1%b0%f2%c2%a6%afZ(B),http://college.kcg.gov.tw/class_file/1/2582/14-22-劉勇男-太極拳基礎(B)-214.doc
